name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,9787,607244125,5554,5488,,1.089999213434894,1,4,,footway,9,"LINESTRING (-122.3162165 47.6548537, -122.3162211 47.6548444)",walk,0
,9788,607244127,5488,5493,,4.412286966151103,1,4,,footway,9,"LINESTRING (-122.3162211 47.6548444, -122.3162435 47.6548077)",walk,0
,9789,607244127,5493,5522,,2.973128808443294,1,4,,footway,9,"LINESTRING (-122.3162435 47.6548077, -122.3162587 47.654783)",walk,0
,9790,607244129,5549,5484,,15.865348759427064,1,4,,footway,9,"LINESTRING (-122.3177881 47.6541969, -122.3179894 47.6542413)",walk,0
,9791,607244131,5553,5530,,6.268295178952757,1,4,,footway,9,"LINESTRING (-122.3175765 47.6538426, -122.3175669 47.6538986)",walk,0
,9792,607244132,5532,5515,,1.2175744454502637,1,4,,footway,9,"LINESTRING (-122.3183817 47.6544213, -122.3183662 47.654418)",walk,0
,9793,607244134,5489,5527,,15.090041258145463,1,4,,footway,9,"LINESTRING (-122.318313 47.6545724, -122.3181233 47.6545267)",walk,0
,9794,607244136,1731,5519,,9.389460027172266,1,4,,footway,9,"LINESTRING (-122.3184048 47.6543705, -122.3184886 47.6543916, -122.3185081 47.6543713)",walk,0
,9795,607244136,5519,5482,,4.8852648418675155,1,4,,footway,9,"LINESTRING (-122.3185081 47.6543713, -122.3185435 47.6543344)",walk,0
,9796,607244138,5522,6215,,4.979243027559588,1,4,,footway,9,"LINESTRING (-122.3162587 47.654783, -122.3162762 47.6547398)",walk,0
,9797,607244138,6215,5538,,3.851074410610527,1,4,,footway,9,"LINESTRING (-122.3162762 47.6547398, -122.3162898 47.6547064)",walk,0
,9798,607244138,5538,5512,,7.185645456728639,1,4,,footway,9,"LINESTRING (-122.3162898 47.6547064, -122.3163076 47.6546429)",walk,0
,9799,607244140,5555,5510,,66.19754715134789,1,4,,footway,9,"LINESTRING (-122.3155318 47.655315, -122.3155231 47.6547197)",walk,0
,9800,607244141,5540,4583,,0.5280501254803216,1,4,,footway,9,"LINESTRING (-122.3145659 47.6552931, -122.3145697 47.6552971)",walk,0
,9801,607244141,4583,5555,,72.08849262429952,1,4,,footway,9,"LINESTRING (-122.3145697 47.6552971, -122.3155318 47.655315)",walk,0
,9802,607244141,5555,5556,,2.969548406849784,1,4,,footway,9,"LINESTRING (-122.3155318 47.655315, -122.3155714 47.6553137)",walk,0
,9803,607244143,5508,5514,,0.9295112627166503,1,4,,footway,9,"LINESTRING (-122.3178238 47.6539862, -122.317835 47.6539898)",walk,0
,9804,607244144,5509,5523,,1.8233331364185361,1,4,,footway,9,"LINESTRING (-122.3157256 47.654778, -122.315712 47.6547644)",walk,0
,9805,607244145,5535,5512,,42.07043187701158,1,4,,footway,9,"LINESTRING (-122.3168477 47.6547319, -122.3167006 47.6546849, -122.3166047 47.6546827, -122.3164163 47.6546574, -122.3163076 47.6546429)",walk,0
,9806,607244145,5512,2300,,57.61230076010531,1,4,,footway,9,"LINESTRING (-122.3163076 47.6546429, -122.3160669 47.6545783, -122.3158483 47.6545174, -122.3157343 47.6544699, -122.3156438 47.6544727, -122.315598 47.6544612)",walk,0
,9807,607244146,5499,5548,,23.603864891418734,1,4,,footway,9,"LINESTRING (-122.3172674 47.6538362, -122.3175648 47.6539064)",walk,0
,9808,607244146,5548,5508,,21.70745395327482,1,4,,footway,9,"LINESTRING (-122.3175648 47.6539064, -122.3175716 47.653908, -122.3175763 47.6539139, -122.3176501 47.6539225, -122.3178238 47.6539862)",walk,0
,9809,607244148,5498,5483,,0.7334304531230281,1,4,,footway,9,"LINESTRING (-122.3172844 47.6548162, -122.3172815 47.6548225)",walk,0
