node_id,x_coord,y_coord,meso_link_id,lane_no,activity_type,is_boundary
11978,-122.33064,47.66265,1242,1,,0
11979,-122.33073,47.66265,1242,1,,0
11980,-122.33083,47.66265,1242,1,,0
11981,-122.33092,47.66265,1242,1,,0
11982,-122.33101,47.66265,1242,1,,0
11983,-122.33111,47.66265,1242,1,,0
11984,-122.3312,47.66265,1242,1,,0
11985,-122.33125,47.66265,1242,1,,0
11986,-122.33005,47.66259,1243,1,residential,0
11987,-122.32996,47.66259,1243,1,,0
11988,-122.32987,47.66259,1243,1,,0
11989,-122.32977,47.66259,1243,1,,0
11990,-122.32968,47.66259,1243,1,,0
11991,-122.32959,47.66259,1243,1,,0
11992,-122.32949,47.66259,1243,1,,0
11993,-122.3294,47.66259,1243,1,,0
11994,-122.32931,47.66259,1243,1,,0
11995,-122.32921,47.66259,1243,1,,0
11996,-122.32908,47.66259,1243,1,,0
11997,-122.32908,47.66265,1244,1,residential,0
11998,-122.32917,47.66265,1244,1,,0
11999,-122.32926,47.66265,1244,1,,0
12000,-122.32936,47.66265,1244,1,,0
12001,-122.32945,47.66265,1244,1,,0
12002,-122.32954,47.66265,1244,1,,0
12003,-122.32964,47.66265,1244,1,,0
12004,-122.32973,47.66265,1244,1,,0
12005,-122.32982,47.66265,1244,1,,0
12006,-122.32992,47.66265,1244,1,,0
12007,-122.33005,47.66265,1244,1,,0
12008,-122.32887,47.66259,1245,1,residential,0
12009,-122.32877,47.66259,1245,1,,0
12010,-122.32868,47.66259,1245,1,,0
12011,-122.32859,47.66258,1245,1,,0
12012,-122.32849,47.66258,1245,1,,0
12013,-122.32837,47.66258,1245,1,,0
12014,-122.32837,47.66265,1246,1,residential,0
12015,-122.32846,47.66265,1246,1,,0
12016,-122.32856,47.66265,1246,1,,0
12017,-122.32865,47.66265,1246,1,,0
12018,-122.32874,47.66265,1246,1,,0
12019,-122.32886,47.66265,1246,1,,0
12020,-122.34019,47.64929,1247,1,tertiary,0
12021,-122.34019,47.64936,1247,1,,0
12022,-122.34019,47.64942,1247,1,,0
12023,-122.34019,47.64948,1247,1,,0
12024,-122.34019,47.64957,1247,1,,0
12025,-122.34028,47.64957,1248,1,residential,0
12026,-122.34028,47.6495,1248,1,,0
12027,-122.34028,47.64944,1248,1,,0
12028,-122.34028,47.64938,1248,1,,0
12029,-122.34029,47.6493,1248,1,,0
12030,-122.34018,47.64971,1249,1,residential,0
12031,-122.34018,47.64977,1249,1,,0
12032,-122.34018,47.64984,1249,1,,0
12033,-122.34018,47.6499,1249,1,,0
12034,-122.34018,47.64996,1249,1,,0
12035,-122.34018,47.65003,1249,1,,0
12036,-122.34018,47.65009,1249,1,,0
12037,-122.34018,47.65015,1249,1,,0
12038,-122.34018,47.65021,1249,1,,0
12039,-122.34017,47.65028,1249,1,,0
12040,-122.34017,47.65034,1249,1,,0
12041,-122.34017,47.65043,1249,1,,0
12042,-122.34026,47.65043,1250,1,residential,0
12043,-122.34027,47.65037,1250,1,,0
12044,-122.34027,47.6503,1250,1,,0
12045,-122.34027,47.65024,1250,1,,0
12046,-122.34027,47.65018,1250,1,,0
12047,-122.34027,47.65011,1250,1,,0
12048,-122.34027,47.65005,1250,1,,0
12049,-122.34027,47.64999,1250,1,,0
12050,-122.34027,47.64993,1250,1,,0
12051,-122.34027,47.64986,1250,1,,0
12052,-122.34028,47.6498,1250,1,,0
12053,-122.34028,47.64971,1250,1,,0
12054,-122.34017,47.65057,1251,1,residential,0
12055,-122.34017,47.65064,1251,1,,0
12056,-122.34017,47.6507,1251,1,,0
12057,-122.34017,47.65076,1251,1,,0
12058,-122.34017,47.65082,1251,1,,0
12059,-122.34017,47.65089,1251,1,,0
12060,-122.34016,47.65095,1251,1,,0
12061,-122.34016,47.65101,1251,1,,0
12062,-122.34016,47.65108,1251,1,,0
12063,-122.34016,47.65114,1251,1,,0
12064,-122.34016,47.6512,1251,1,,0
12065,-122.34016,47.65127,1251,1,,0
12066,-122.34016,47.65133,1251,1,,0
12067,-122.34016,47.65139,1251,1,,0
12068,-122.34016,47.65145,1251,1,,0
12069,-122.34016,47.65152,1251,1,,0
12070,-122.34016,47.65158,1251,1,,0
12071,-122.34016,47.65164,1251,1,,0
12072,-122.34016,47.65171,1251,1,,0
12073,-122.34016,47.65177,1251,1,,0
12074,-122.34015,47.65183,1251,1,,0
12075,-122.34015,47.65189,1251,1,,0
12076,-122.34015,47.65196,1251,1,,0
12077,-122.34015,47.65202,1251,1,,0
12078,-122.34015,47.65208,1251,1,,0
12079,-122.34015,47.65215,1251,1,,0
12080,-122.34015,47.65221,1251,1,,0
12081,-122.34015,47.65227,1251,1,,0
12082,-122.34015,47.65234,1251,1,,0
12083,-122.34015,47.6524,1251,1,,0
12084,-122.34015,47.65246,1251,1,,0
12085,-122.34015,47.65252,1251,1,,0
12086,-122.34015,47.65259,1251,1,,0
12087,-122.34014,47.65262,1251,1,,0
12088,-122.34024,47.65262,1252,1,residential,0
12089,-122.34024,47.65256,1252,1,,0
12090,-122.34024,47.6525,1252,1,,0
12091,-122.34024,47.65243,1252,1,,0
12092,-122.34024,47.65237,1252,1,,0
12093,-122.34024,47.65231,1252,1,,0
12094,-122.34024,47.65224,1252,1,,0
12095,-122.34024,47.65218,1252,1,,0
12096,-122.34024,47.65212,1252,1,,0
12097,-122.34024,47.65205,1252,1,,0
12098,-122.34025,47.65199,1252,1,,0
12099,-122.34025,47.65193,1252,1,,0
12100,-122.34025,47.65187,1252,1,,0
12101,-122.34025,47.6518,1252,1,,0
12102,-122.34025,47.65174,1252,1,,0
12103,-122.34025,47.65168,1252,1,,0
12104,-122.34025,47.65161,1252,1,,0
12105,-122.34025,47.65155,1252,1,,0
12106,-122.34025,47.65149,1252,1,,0
12107,-122.34025,47.65142,1252,1,,0
12108,-122.34025,47.65136,1252,1,,0
